Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"41113-1","Friends","Party",2016,"Party Gift Shop",,52,3.99,4.99,6.99,4.99,,673419247528,12.192,9.0932,4.699,0.07718,"",1,1,0,,,,,,,,,10.3200,3.9500,"01/01/2016","31/12/2016"
"41114-1","Friends","Party",2016,"Party Styling",,54,3.99,4.99,6.99,4.99,,673419247542,12.192,9.0932,4.699,0.07264,"",1,1,0,,,,,,,,,5.3900,3.2900,"01/01/2016","31/12/2016"
"41165-1","Disney","Frozen II",2019,"Anna's Canoe Expedition",2,108,17.99,19.99,24.99,19.99,5702016368628,,26.2,14.1,7.2,,"",1,1,0,,,,,,,,,12.2600,9.8700,"04/10/2019","31/07/2021"
"41166-1","Disney","Frozen II",2019,"Elsa and the Reindeer Carriage",1,116,24.99,29.99,39.99,29.99,5702016368635,,26.2,19.1,6.1,,"",1,1,0,,,,,,,,,18.7200,13.5000,"04/10/2019","31/12/2022"
"41168-1","Disney","Frozen II",2019,"Elsa's Jewellery Box",1,300,34.99,39.99,49.99,39.99,5702016368659,,28.2,26.2,7.6,,"",1,1,0,,,,,,,,,31.5900,15.0000,"04/10/2019","31/12/2023"
"41251-1","Trolls World Tour","",2020,"Poppy's Pod",1,103,19.99,19.99,24.99,19.99,5702016616774,673419317986,26.2,19.1,6.1,0.29,"",1,1,0,,,,,,,,,12.8400,15.7600,"01/01/2020","31/07/2021"
"41332-1","Friends","",2018,"Emma's Art Stand",1,210,17.99,19.99,24.99,19.99,5702016077438,673419280020,26.2,19.1,6.1,0.32,"",1,1,0,,,,,,,,,13.7800,9.1000,"01/01/2018","31/12/2019"
"41353-1","Friends","Seasonal",2018,"Friends Advent Calendar",,500,22.99,29.99,39.99,29.99,5702016112054,,38.2,26.2,7.1,,"",1,1,0,,,,,,,,,26.6800,16.9500,"01/09/2018","31/12/2018"
"41360-1","Friends","",2019,"Emma's Mobile Veterinary Clinic ",1,50,7.99,9.99,13.99,9.74,5702016370249,673419303996,14.1,15.7,4.5,0.1,"",1,1,0,,,,,,,,,7.7500,4.5700,"01/01/2019","31/12/2020"
"41361-1","Friends","",2019,"Mia's Foal Stable ",1,118,14.99,19.99,24.99,19.49,5702016370256,673419304009,26.2,19.1,6.1,0.29,"",1,1,0,,,,,,,,,18.0200,8.9600,"01/01/2019","31/12/2020"
"41362-1","Friends","",2019,"Heartlake City Supermarket",2,140,24.99,29.99,39.99,29.23,5702016370263,,35.4,19.1,5.9,,"",1,1,0,,,,,,,,,29.9900,9.7000,"01/06/2019","31/12/2020"
"41369-1","Friends","",2019,"Mia's House",3,715,59.99,69.99,89.99,68.23,5702016369441,673419303606,54,28.2,7.85,1.12,"",1,1,0,,,,,,,,,70.5700,40.0000,"01/01/2019","31/12/2020"
"41396-1","Friends","",2020,"Puppy Playground",1,57,8.99,9.99,13.99,9.99,5702016618839,673419319812,14.1,12.2,6.1,,"",1,1,0,,,,,,,,,7.3200,5.7500,"01/01/2020","31/12/2021"
"41397-1","Friends","",2020,"Juice Truck",2,103,17.99,19.99,24.99,19.49,5702016618846,673419319829,26.2,19.1,6.1,0.32,"",1,1,0,,,,,,,,,18.9100,15.8500,"01/01/2020","31/12/2020"
